epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.7929,1.28084,3.66316,1.66625,0.13953,0.85714,0.61284,0.33547,0.95289,3.94067,1.54449,0.000244682,0.000244682,0.000244682
2,106.46,1.13289,3.43159,1.52241,0.10286,0.85714,0.60872,0.32123,1.16211,3.89936,1.66872,0.000491095,0.000491095,0.000491095
3,181.006,1.21432,3.26399,1.57372,0.08981,0.88095,0.5647,0.27599,1.15963,3.74747,1.6038,0.000727357,0.000727357,0.000727357
4,287.432,1.13325,3.07048,1.51534,0.08636,0.90476,0.57248,0.25607,1.20108,3.59144,1.679,0.000723321,0.000723321,0.000723321
5,389.502,1.13088,2.82526,1.54255,0.86805,0.47009,0.73039,0.36024,1.44014,3.18601,2.05944,0.000708095,0.000708095,0.000708095
6,502.341,1.2348,2.63425,1.61093,0.7845,0.57143,0.69392,0.33961,1.53845,2.75066,2.2274,0.000692869,0.000692869,0.000692869
7,607.529,1.19252,2.4328,1.58053,0.86593,0.61522,0.74199,0.37054,1.49349,2.30388,2.09273,0.000677643,0.000677643,0.000677643
8,715.27,1.28868,2.31566,1.68784,0.8169,0.63747,0.7168,0.37854,1.41044,2.26792,2.05298,0.000662417,0.000662417,0.000662417
9,822.776,1.30201,2.18017,1.72882,0.82933,0.61905,0.73511,0.37575,1.37484,2.26029,2.02758,0.00064719,0.00064719,0.00064719
10,928.052,1.37374,2.20226,1.7763,0.60615,0.76962,0.71431,0.39511,1.39656,2.16497,2.0325,0.000631964,0.000631964,0.000631964
11,1034.32,1.28268,1.98193,1.69198,0.77235,0.72714,0.7858,0.43983,1.35015,2.23179,1.93456,0.000616738,0.000616738,0.000616738
12,1137.75,1.16081,1.8899,1.59775,0.82616,0.7381,0.81301,0.45056,1.23533,2.49271,1.79681,0.000601512,0.000601512,0.000601512
13,1286.34,1.16248,1.90232,1.59016,0.77888,0.7619,0.80275,0.42114,1.29204,2.30684,1.93491,0.000586286,0.000586286,0.000586286
14,1414.55,1.12416,1.73019,1.55752,0.76706,0.71429,0.72175,0.37492,1.37573,2.00945,2.06972,0.000571059,0.000571059,0.000571059
15,1522.92,1.11348,1.75635,1.53517,0.83771,0.66667,0.77156,0.41718,1.30728,1.83439,1.99376,0.000555833,0.000555833,0.000555833
16,1634.04,1.08954,1.66586,1.50293,0.75354,0.71429,0.76895,0.4076,1.28131,2.10139,1.9508,0.000540607,0.000540607,0.000540607
