epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.8147,1.74696,3.68618,2.42684,0.00398,0.95833,0.57237,0.22536,1.3644,3.37216,1.89792,0.000493926,0.000493926,0.000493926
2,87.4582,1.48558,3.20931,2.07417,0.0037,0.95833,0.29642,0.09183,1.68541,3.25614,2.45687,0.000997638,0.000997638,0.000997638
3,130.648,1.52752,2.94335,2.09196,0.00366,0.95833,0.23351,0.05629,2.32203,3.6331,3.18359,0.00144634,0.00144634,0.00144634
4,175.458,1.80034,3.01519,2.40862,0.64565,0.20833,0.35605,0.11522,2.00954,3.2289,2.68913,0.00141945,0.00141945,0.00141945
5,220.299,1.65125,2.98715,2.19112,0.63614,0.16667,0.19829,0.06197,2.17445,3.25797,2.98193,0.00133693,0.00133693,0.00133693
6,262.197,1.56157,2.83065,2.07751,0.21357,0.34167,0.19514,0.06328,1.98674,3.41677,3.26872,0.00125442,0.00125442,0.00125442
7,301.87,1.44627,2.70393,2.05022,0.53123,0.34167,0.34755,0.12542,1.89187,3.17427,2.9739,0.0011719,0.0011719,0.0011719
8,340.462,1.33713,2.52388,1.87917,0.59448,0.575,0.56721,0.19027,1.90247,3.37277,3.2272,0.00108938,0.00108938,0.00108938
9,379.782,1.25907,2.36838,1.84024,0.46638,0.73065,0.61311,0.19369,1.77141,5.91206,2.99668,0.00100687,0.00100687,0.00100687
10,428.617,1.28637,2.3636,1.83606,0.66863,0.64786,0.65267,0.22873,1.8422,4.18657,2.9962,0.000924352,0.000924352,0.000924352
11,472.847,1.19725,2.19199,1.75329,0.70639,0.73333,0.67036,0.26256,1.80862,2.93609,2.80054,0.000841835,0.000841835,0.000841835
12,545.569,1.13327,2.16076,1.65352,0.52341,0.69167,0.59904,0.24228,1.74987,2.76808,2.65707,0.000759318,0.000759318,0.000759318
13,590.786,1.20476,2.15588,1.73533,0.49878,0.68438,0.56396,0.25082,1.76924,2.56786,2.60175,0.000676802,0.000676802,0.000676802
14,630.144,1.16481,2.16328,1.69999,0.69987,0.59961,0.70338,0.31409,1.61283,2.42411,2.39893,0.000594286,0.000594286,0.000594286
15,667.383,1.11632,2.09755,1.65304,0.68164,0.68333,0.75073,0.30297,1.62573,2.33787,2.36706,0.000511769,0.000511769,0.000511769
16,705.414,1.07653,2.04124,1.62863,0.68924,0.75092,0.74656,0.28849,1.75346,2.27786,2.41153,0.000429253,0.000429253,0.000429253
17,742.796,1.03368,1.88068,1.57831,0.81988,0.69909,0.76664,0.29371,1.75883,2.241,2.40604,0.000346736,0.000346736,0.000346736
18,779.434,1.09222,1.92408,1.65087,0.83126,0.75696,0.79166,0.27354,1.80981,2.33783,2.45816,0.00026422,0.00026422,0.00026422
19,816.052,1.01149,1.85297,1.56927,0.80719,0.75857,0.80987,0.27588,1.76357,2.34797,2.41355,0.000181703,0.000181703,0.000181703
20,852.851,1.02556,1.83756,1.54465,0.83997,0.725,0.81826,0.27635,1.74322,2.3135,2.39053,9.91865e-05,9.91865e-05,9.91865e-05
